,Year,Media,Title,Released,Consumed
1893,,C,"""Pest Control"" — Star Wars Adventures (2017) 3 ",2017-10-18,False
1894,,C,"""Destroyer Down"" — Star Wars Adventures: Destroyer Down ",2017-12-20,False
1895,,C,Age of Resistance - Captain Phasma 1 ,2019-07-10,False
1896,,C,Hyperspace Stories 8 ,2023-08-30,False
1897,34 ABY,TV,"Star Wars Resistance — ""The Core Problem""",2019-02-17,False
1898,34 ABY,TV,"Star Wars Resistance — ""The Disappeared"" ",2019-02-24,False
1899,34 ABY,TV,"Star Wars Resistance — ""Descent"" ",2019-03-03,False
1900,34 ABY,F,Star Wars: Episode VII The Force Awakens,2015-12-18,False
1901,34 ABY,N,Star Wars: The Force Awakens novelization,2015-12-18,False
1902,34 ABY,JR,Star Wars: The Force Awakens: A Junior Novel,2015-12-18,False
1903,34 ABY,JR,Le réveil de la force junior novelization,2018-11-08,False
1904,34 ABY,TV,"Star Wars Galaxy of Adventures — ""The Force Calls to Rey""",2020-03-13,False
1905,34 ABY,TV,"Star Wars Galaxy of Adventures — ""An Unlikely Friendship""",2020-04-24,False
1906,34 ABY,TV,"Star Wars Galaxy of Adventures — ""BB-8 - A Hero Rolls Out""",2020-03-27,False
1907,34 ABY,TV,"Star Wars Galaxy of Adventures — ""Rey and Finn vs. Kylo Ren""",2020-04-03,False
1908,34 ABY,TV,"Star Wars Galaxy of Adventures — ""The First Order vs. The Resistance""",2020-05-01,False
1909,34–35 ABY,TV,"Star Wars Galaxy of Adventures — ""Leia Organa - A Princess, A General, A Mentor""",2020-03-20,False
1910,34 ABY,C,Star Wars: The Force Awakens Graphic Novel Adaptation,2017-08-29,False
1911,34 ABY,C,The Force Awakens Adaptation 1,2016-06-22,False
1912,34 ABY,JR,The Force Awakens: Rey's Story,2016-02-16,False
1913,34 ABY,JR,The Force Awakens: Finn's Story,2016-09-13,False
1914,34 ABY,C,The Force Awakens Adaptation 2,2016-07-27,False
1915,34 ABY,C,The Force Awakens Adaptation 3,2016-08-24,False
1916,34 ABY,C,The Force Awakens Adaptation 4,2016-09-14,False
1917,34 ABY,C,The Force Awakens Adaptation 5,2016-10-12,False
1918,34 ABY,A,Choose Your Destiny: A Maz's Castle Mission,2019-11-XX,False
1919,34 ABY,C,The Force Awakens Adaptation 6,2016-11-09,False
1920,34 ABY,VG,Star Wars: X-wing Fighter,2017-04-20,False
1921,34 ABY,TV,"Star Wars Forces of Destiny — ""Sands of Jakku""",2017-07-03,False
1922,34 ABY,TV,"Star Wars Forces of Destiny — ""BB-8 Bandits""",2017-04-14,False
1923,34 ABY,C,Forces of Destiny—Rey,2018-01-10,False
1924,34 ABY,VG,Star Wars Battlefront II Resurrection: Mission 1: Until Ashes,2017-12-13,False
1925,34 ABY,TV,"Star Wars Forces of Destiny — ""Tracker Trouble""",2017-10-01,False
1926,34 ABY,VG,Star Wars Battlefront II Resurrection: Mission 2: Ashes of the Empire,2017-12-13,False
1927,34 ABY,N,Galaxy's Edge: Black Spire,2019-08-27,False
1928,34 ABY,TV,"Star Wars Resistance — ""No Escape: Part 1""",2019-03-10,False
1929,34 ABY,TV,"Star Wars Resistance — ""No Escape: Part 2""",2019-03-17,False
1930,34 ABY,TV,"Star Wars Resistance — ""Into the Unknown""",2019-04-15,False
1931,34 ABY,JR,Join the Resistance: Attack on Starkiller Base,2018-07-31,False
1932,34 ABY,TV,"Star Wars Forces of Destiny — ""Perilous Pursuit""",2018-05-04,False
1933,34 ABY,VG,Star Wars Battlefront II Resurrection: Mission 3: Inferno,2017-12-13,False
1934,34 ABY,C,Captain Phasma 1,2017-09-06,False
1935,34 ABY,C,Age of Resistance - Rey 1,2019-09-18,False
1936,34 ABY,C,Captain Phasma 2,2017-09-20,False
1937,34 ABY,C,Captain Phasma 3,2017-10-04,False
1938,34 ABY,C,Captain Phasma 4,2017-10-18,False
1939,,C,Star Wars Adventures Ashcan ,2017-07-12,False
1940,34 ABY,C,"""Rose Knows"" — Star Wars Adventures (2017) 6 ",2018-01-17,False
1941,34 ABY,C,The Last Jedi – DJ – Most Wanted 1 ,2018-01-31,False
1942,34 ABY,F,Star Wars: Episode VIII The Last Jedi,2017-12-15,False
1943,34 ABY,N,Star Wars: The Last Jedi: Expanded Edition,2018-03-06,False
1944,34 ABY,JR,Star Wars: The Last Jedi: A Junior Novel,2018-03-06,False
1945,34 ABY,JR,Les derniers Jedi junior novelization,2018-03-28,False
1946,34 ABY,C,Star Wars: The Last Jedi Graphic Novel Adaptation,2018-09-25,False
1947,34 ABY,C,The Last Jedi Adaptation 1,2018-05-09,False
1948,34 ABY,C,The Last Jedi Adaptation 2,2018-05-23,False
1949,34 ABY,C,The Last Jedi Adaptation 3,2018-06-06,False
1950,34 ABY,C,The Last Jedi Adaptation 4,2018-07-04,False
1951,34 ABY,C,The Last Jedi Adaptation 5,2018-08-01,False
1952,34 ABY,C,The Last Jedi Adaptation 6,2018-09-12,False
1953,34 ABY,C,"""Life Lessons"" — Star Wars Adventures (2017) 26",2019-09-25,False
1954,34 ABY,TV,"Star Wars Forces of Destiny — ""Porg Problems""",2018-03-19,False
1955,34 ABY,TV,"Star Wars Forces of Destiny — ""Porgs!""",2018-05-04,False
1956,34 ABY,VG,Star Wars: Droid Repair Bay,2017-12-06,False
1957,34 ABY,TV,"Star Wars Forces of Destiny — ""Shuttle Shock""",2018-03-19,False
1958,,C,Legacy of Vader 1 ,2025-02-05,False
1959,,C,Legacy of Vader 2 ,2025-03-12,False
1960,,C,Legacy of Vader 3 ,2025-04-16,False
1961,,C,Legacy of Vader 4 ,2025-05-21,False
1962,,C,Legacy of Vader 5 ,2025-XX-XX,False
1963,,C,Legacy of Vader 6 ,2025-XX-XX,False
1964,34 ABY,TV,"Star Wars Resistance — ""A Quick Salvage Run"" ",2019-10-13,False
1965,34 ABY,TV,"Star Wars Resistance — ""Live Fire"" ",2019-10-20,False
1966,34 ABY,TV,"Star Wars Resistance — ""Hunt on Celsor 3"" ",2019-10-27,False
1967,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Tauntaun"" ",2021-11-18,False
1968,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Wampa"" ",2021-10-28,False
1969,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Rancor"" ",2021-11-18,False
1970,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Bantha"" ",2021-10-14,False
1971,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Blurrg"" ",2021-10-21,False
1972,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Nexu"" ",2021-11-11,False
1973,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Voorpak"" ",2021-10-21,False
1974,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Tooka"" ",2021-10-28,False
1975,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Charhound"" ",2021-11-11,False
1976,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Mynocks"" ",2021-11-04,False
1977,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Kowakian Monkey-Lizards"" ",2021-11-04,False
1978,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Porgs"" ",2021-10-14,False
1979,34 ABY,TV,"Star Wars Galactic Pals — ""Wookiee"" ",2022-04-12,False
1980,34 ABY,TV,"Star Wars Galactic Pals — ""Ewok"" ",2022-04-12,False
1981,34 ABY,TV,"Star Wars Galactic Pals — ""Jawa"" ",2022-04-17,False
1982,34 ABY,TV,"Star Wars Galactic Pals — ""Rodian"" ",2022-04-17,False
1983,34 ABY,TV,"Star Wars Galactic Pals — ""Gamorrean"" ",2022-04-26,False
1984,34 ABY,TV,"Star Wars Galactic Pals — ""Huttlet"" ",2022-04-26,False
1985,34 ABY,TV,"Star Wars Galactic Pals — ""Tauntaun"" ",2022-10-18,False
1986,34 ABY,TV,"Star Wars Galactic Pals — ""Rancor"" ",2022-10-18,False
1987,34 ABY,TV,"Star Wars Galactic Pals — ""Porgs"" ",2022-10-25,False
1988,34 ABY,TV,"Star Wars Galactic Pals — ""Ortolan"" ",2022-10-25,False
1989,34 ABY,TV,"Star Wars Galactic Pals — ""Gungan"" ",2022-11-01,False
1990,34 ABY,TV,"Star Wars Galactic Pals — ""Loth-Cat"" ",2022-11-01,False
1991,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Bogling""",2023-01-17,False
1992,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Eopie""",2023-01-17,False
1993,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Convor""",2023-01-24,False
1994,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Gergilla""",2023-01-24,False
1995,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Kybuck""",2023-01-31,False
1996,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Kamoradon""",2023-01-31,False
1997,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Dianoga""",2023-02-07,False
1998,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Ice Spider""",2023-02-07,False
1999,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Puffer Pig""",2023-02-14,False
2000,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Gundark""",2023-02-14,False
2001,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Gorgs""",2023-02-21,False
2002,34 ABY,TV,"Star Wars Galaxy of Creatures — ""Ordo Moon Dragon""",2023-02-21,False
2003,34 ABY,TV,"Star Wars Resistance — ""The Engineer"" ",2019-11-03,False
2004,34 ABY,TV,"Star Wars Resistance — ""From Beneath"" ",2019-11-10,False
2005,34 ABY,TV,"Star Wars Resistance — ""The Relic Raiders"" ",2019-11-17,False
2006,34 ABY,TV,"Star Wars Resistance — ""Rendezvous Point"" ",2019-11-24,False
2007,34 ABY,TV,"Star Wars Resistance — ""The Voxx Vortex 5000"" ",2019-12-01,False
2008,34 ABY,TV,"Star Wars Resistance — ""Kaz's Curse"" ",2019-12-08,False
2009,34 ABY,C,Poe Dameron 26,2018-04-18,False
2010,34 ABY,C,Poe Dameron 27,2018-05-16,False
2011,34 ABY,C,Poe Dameron 28,2018-06-20,False
2012,34 ABY,C,Poe Dameron 29,2018-07-18,False
2013,34 ABY,C,Poe Dameron 30,2018-08-15,False
2014,34 ABY,C,Poe Dameron 31,2018-09-26,False
2015,34 ABY,N,Resistance Reborn,2019-11-05,False
2016,,C,Untitled Vaneé story — Free Comic Book Day 2025: Star Wars 1 ,2025-05-03,False
2017,34 ABY,C,"""Loyalty Test"" — Star Wars Adventures (2017) 30",2020-01-29,False
2018,34 ABY,TV,"Star Wars Resistance — ""Station to Station"" ",2019-12-15,False
2019,34 ABY and 35 ABY,TV,"Star Wars Resistance — ""The Missing Agent"" ",2019-12-22,False
2020,c 34 ABY and 35 ABY,TV,"Star Wars Resistance — ""Breakout"" ",2019-12-29,False
2021,34 ABY,TV,"Star Wars Resistance — ""The Mutiny"" ",2020-01-05,False
2022,34 ABY,TV,"Star Wars Resistance — ""The New World"" ",2020-01-12,False
2023,34 ABY,TV,"Star Wars Resistance — ""No Place Safe"" ",2020-01-12,False
2024,34 ABY,TV,"Star Wars Resistance — ""Rebuilding the Resistance"" ",2020-01-19,False
2025,34 ABY,C,Allegiance 1,2019-10-09,False
2026,34 ABY,C,Allegiance 2,2019-10-16,False
2027,34 ABY,C,Allegiance 3,2019-10-23,False
2028,,C,Allegiance 4 ,2019-10-30,False
2029,,C,"""Ghosts of Kashyyyk, Part 1"" — Star Wars Adventures (2017) 27 ",2019-10-30,False
2030,,C,"""Ghosts of Kashyyyk, Part 2"" — Star Wars Adventures (2017) 28 ",2019-11-27,False
2031,,C,"""Ghosts of Kashyyyk, Part 3"" — Star Wars Adventures (2017) 29 ",2019-12-18,False
2032,,C,"""Secret Agent Droids, Part 1"" — Star Wars Adventures (2017) 27 ",2019-10-30,False
2033,,C,"""Secret Agent Droids, Part 2"" — Star Wars Adventures (2017) 28 ",2019-11-27,False
2034,,C,"""Secret Agent Droids, Part 3"" — Star Wars Adventures (2017) 29 ",2019-12-18,False
2035,34 ABY,JR,Choose Your Destiny: A Finn & Poe Adventure,2019-10-04,False
2036,34 ABY,JR,Spark of the Resistance,2019-10-04,False
2037,34 ABY,C,"""Flight of the Falcon, Part 1: Spy Games"" — Star Wars Adventures (2017) 14",2018-09-26,False
2038,34 ABY,C,"""Flight of the Falcon, Part 2: The Planet of Misfit Droids"" — Star Wars Adventures (2017) 15",2018-10-31,False
2039,34 ABY,C,"""Flight of the Falcon, Part 3: Home Again"" — Star Wars Adventures (2017) 16",2018-12-19,False
2040,34 ABY,C,"""Flight of the Falcon, Part 4: Lady and the Tramp"" — Star Wars Adventures (2017) 17",2019-01-30,False
2041,34 ABY,C,"""Flight of the Falcon, Part 5: Grand Theft Falcon"" — Star Wars Adventures (2017) 18",2019-02-20,False
2042,34 ABY,JR,Pirate's Price,2019-01-08,False
2043,34 ABY,C,Star Wars Adventures: Flight of the Falcon,2019-05-01,False
2044,34 ABY,C,Galaxy's Edge 1 ,2019-04-24,False
2045,34 ABY,C,Galaxy's Edge 2 ,2019-05-22,False
2046,34 ABY,C,Galaxy's Edge 3 ,2019-06-26,False
2047,34 ABY,C,Galaxy's Edge 4 ,2019-07-31,False
2048,34 ABY,C,Galaxy's Edge 5 ,2019-08-28,False
2049,34 ABY,N,A Crash of Fate ,2019-08-06,False
2050,34 ABY,VG,Star Wars: Batuu Bounty Hunters ,2022-07-27,False
2051,34 ABY,TV,"Star Wars Galaxy of Adventures — ""Black Spire Outpost""",2020-08-27,False
2052,34 ABY,TV,"Star Wars Galaxy of Adventures — ""Millennium Falcon - Smugglers Run""",2020-08-27,False
2053,34 ABY,TV,"Star Wars Galaxy of Adventures — ""Rise of the Resistance""",2020-08-27,False
2054,34 ABY,VG,Star Wars: Tales from the Galaxy's Edge ,2020-11-19,False
2055,34 ABY,VG,Star Wars: Tales from the Galaxy's Edge – Last Call ,2021-09-15,False
2056,34 ABY,C,Halcyon Legacy 1 ,2022-02-02,False
2057,34 ABY,C,Halcyon Legacy 2 ,2022-03-16,False
2058,34 ABY,C,Halcyon Legacy 3 ,2022-05-11,False
2059,34 ABY,C,Halcyon Legacy 4 ,2022-07-06,False
2060,34 ABY,C,Halcyon Legacy 5 ,2022-08-03,False
2061,,C,"""See You Around, Kid"" — Star Wars (2020) 25 ",2022-07-20,False
2062,34 ABY,C,"""Squad Goals"" — Star Wars Adventures (2017) 31 ",2020-03-18,False
2063,,C,Path of the Lightsaber ,2025-XX-XX,False
2064,,C,"""The Battle for Horizon Base"" — Star Wars Adventures (2017) 32 ",2020-07-15,False
2065,,C,"""The Obstacle Course, Part 1"" — Star Wars Adventures (2020) 1 ",2020-10-07,False
2066,,C,"""The Obstacle Course, Part 2"" — Star Wars Adventures (2020) 2 ",2020-11-25,False
2067,,C,"""Repair Stop"" — Star Wars Adventures (2020) 13 ",2021-12-29,False
2068,,C,"""Repair Stop, Part II"" — Star Wars Adventures (2020) 14 ",2022-02-09,False
2069,,C,Hyperspace Stories 3 ,2022-11-23,False
2070,,C,Hyperspace Stories 4 ,2023-03-01,False
2071,,C,"""Tales of Villainy: Follow and Lead"" — Star Wars Adventures (2020) 2 ",2020-11-25,False
2072,,TV,Star Wars Forces of Destiny: Volume 1 ,2017-10-01,False
2073,,TV,Star Wars Forces of Destiny: Volume 2 ,2017-10-29,False
2074,,TV,Star Wars Forces of Destiny: Volume 3 ,2018-03-25,False
2075,,TV,Star Wars Forces of Destiny: Volume 4 ,2018-05-25,False
2076,,C,"""Tales from Wild Space: Stop, Thief!"" — Star Wars Adventures (2017) 1 ",2017-09-06,False
2077,,C,"""Tales from Wild Space: The Flat Mountain of Yavin"" — Star Wars Adventures (2017) 2 ",2017-09-20,False
2078,,C,"""Tales from Wild Space: Adventures in Wookiee-Sitting"" — Star Wars Adventures (2017) 3 ",2017-10-18,False
2079,,C,"""Tales from Wild Space: Mattis Makes a Stand"" — Star Wars Adventures (2017) 4 ",2017-11-29,False
2080,,C,"""Tales from Wild Space: The Best Pet"" — Star Wars Adventures (2017) 5 ",2017-12-27,False
2081,,C,"""Tales from Wild Space: Podracer's Rescue"" — Star Wars Adventures (2017) 6 ",2018-01-17,False
2082,,C,"""Tales from Wild Space: Look Before You Leap"" — Star Wars Adventures (2017) 7 ",2018-03-07,False
2083,,C,"""Tales from Wild Space: Gonk!"" — Star Wars Adventures (2017) 8 ",2018-03-28,False
2084,,C,"""Tales from Wild Space: IG-88 vs. the Gatto Gang"" — Star Wars Adventures (2017) 9 ",2018-04-18,False
2085,,C,"""Tales from Wild Space: Family Affair, Part 1"" — Star Wars Adventures (2017) 10 ",2018-05-09,False
2086,,C,"""Tales from Wild Space: Family Affair, Part 2"" — Star Wars Adventures (2017) 11 ",2018-06-06,False
2087,,C,"""Tales from Wild Space: A Small Push"" — Star Wars Adventures (2017) 12 ",2018-07-25,False
2088,,C,"""Tales from Wild Space: The Blue Brothers"" — Star Wars Adventures (2017) 13 ",2018-08-29,False
2089,,C,"""Tales from Wild Space: The Big March"" — Star Wars Adventures (2017) 19 ",2019-03-27,False
2090,,C,"""Tales from Wild Space: The Journey"" — Star Wars Adventures (2017) 20 ",2019-04-17,False
2091,,C,"""Tales from Wild Space: The Heist"" — Star Wars Adventures (2017) 21 ",2019-05-08,False
2092,,C,"""Tales from Wild Space: A Tauntaun Tail"" — Star Wars Adventures (2017) 22 ",2019-06-05,False
2093,,C,"""Tales from Wild Space: Majordomo, Major Problems"" — Star Wars Adventures (2017) 23 ",2019-07-03,False
2094,,C,"""Tales from Wild Space: Win/Lose"" — Star Wars Adventures (2017) 24 ",2019-08-21,False
2095,,C,"""Tales from Wild Space: Alone in the Dark"" — Star Wars Adventures (2017) 26 ",2019-09-25,False
2096,,C,"""The Lost Stories, Part 1"" — Star Wars Adventures (2017) 30 ",2020-01-29,False
2097,,C,"""The Lost Stories, Part 2"" — Star Wars Adventures (2017) 31 ",2020-03-18,False
2098,,C,"""The Lost Stories, Part 3"" — Star Wars Adventures (2017) 32 ",2020-07-15,False
2099,35 ABY,TV,"Star Wars Resistance — ""The Escape"" ",2020-01-26,False
2100,35 ABY,F,Star Wars: Episode IX The Rise of Skywalker ,2019-12-20,False
2101,35 ABY,N,Star Wars: The Rise of Skywalker: Expanded Edition,2020-03-17,False
2102,35 ABY,JR,Star Wars: The Rise of Skywalker: A Junior Novel,2020-04-16,False
2103,35 ABY,JR,L'ascension de Skywalker junior novelization,2020-06-17,False
2104,35 ABY,C,The Rise of Skywalker Adaptation 1,2025-02-26,False
2105,35 ABY,C,Star Wars: The Rise of Skywalker Graphic Novel Adaptation,2021-03-02,False
2106,35 ABY,C,The Rise of Skywalker Adaptation 2,2025-03-26,False
2107,35 ABY,C,The Rise of Skywalker Adaptation 3,2025-04-30,False
2108,35 ABY,C,The Rise of Skywalker Adaptation 4,2025-05-28,False
2109,35 ABY,C,The Rise of Skywalker Adaptation 5,2025-XX-XX,False
2110,,TV,"Star Wars Galaxy of Adventures — ""Rey and Friends vs. The First Order""",2020-03-13,False
2111,,TV,"Star Wars Galaxy of Adventures — ""Kylo Ren and Darth Vader - A Legacy of Power""",2020-03-13,False
2112,,TV,"Star Wars Galaxy of Adventures — ""Kylo Ren vs. Resistance Rebels""",2020-04-17,False
2113,35 ABY,C,"""A Eulogy for Snap"" — Star Wars (2020) 25 ",2022-07-20,False
2114,,F,Untitled Star Wars film (Sharmeen Obaid-Chinoy),Uknown,False
